redshift,lum_dist
2.69,22288.717421879974
2.7,22388.94256466388
2.71,22489.228512548532
2.72,22589.574976101594
2.73,22689.981668309294
2.74,22790.448304547783
2.75,22890.974602554787
2.7600000000000002,22991.560282401842
2.77,23092.205066466868
2.7800000000000002,23192.908679407126
2.79,23293.67084813261
2.8000000000000003,23394.491301779846
2.81,23495.369771686055
2.82,23596.305991363664
2.83,23697.299696475282
2.84,23798.350624808918
2.85,23899.45851625369
2.86,24000.62311277574
2.87,24101.844158394684
2.88,24203.121399160213
2.89,24304.454583129158
2.9,24405.84346034283
2.91,24507.28778280471
2.92,24608.78730445846
2.93,24710.34178116618
2.94,24811.950970687063
2.95,24913.61463265638
2.96,25015.332528564566
2.97,25117.10442173685
2.98,25218.930077313053
2.99,25320.809262227576
3.0,25422.741745189873
3.0100000000000002,25524.727296665056
3.02,25626.765688854775
3.0300000000000002,25728.856695678463
3.04,25831.000092754668
3.0500000000000003,25933.195657382865
3.06,26035.443168525297
3.0700000000000003,26137.74240678924
3.08,26240.09315440939
3.09,26342.495195230586
3.1,26444.948314690686
3.11,26547.452299803743
3.12,26650.00693914334
3.13,26752.612022826215
3.14,26855.267342496107
3.15,26957.972691307725
3.16,27060.727863911085
3.17,27163.5326564359
3.18,27266.38686647628
3.19,27369.290293075614
3.2,27472.242736711672
3.21,27575.243999281764
3.22,27678.293884088383
3.23,27781.392195824686
3.24,27884.538740560474
3.25,27987.73332572818
3.2600000000000002,28090.975760109046
3.27,28194.26585381957
3.2800000000000002,28297.60341829808
3.29,28400.98826629142
3.3000000000000003,28504.420211841923
3.31,28607.89907027452
3.3200000000000003,28711.42465818389
3.33,28814.996793421997
3.34,28918.615295085572
3.35,29022.279983503904
3.36,29125.990680226718
3.37,29229.747208012202
3.38,29333.549390815228
3.39,29437.397053775694
3.4,29541.290023206984
3.41,29645.228126584654
3.42,29749.211192535196
3.43,29853.239050824923
3.44,29957.311532349086
3.45,30061.428469121012
3.46,30165.589694261464
3.47,30269.795041988087
3.48,30374.044347605006
3.49,30478.33744749256
3.5,30582.674179097092
3.5100000000000002,30687.05438092097
3.52,30791.477892512674
3.5300000000000002,30895.944554456968
3.54,31000.45420836528
3.5500000000000003,31105.006696866123
3.56,31209.601863595606
3.5700000000000003,31314.239553188258
3.58,31418.919611267633
3.59,31523.641884437377
3.6,31628.4062202721
3.61,31733.212467308585
3.62,31838.060475036953
3.63,31942.950093892003
3.64,32047.881175244678
3.65,32152.85357139352
3.66,32257.86713555635
3.67,32362.921721862
3.68,32468.017185342134
3.69,32573.153381923083
3.7,32678.33016841803
3.71,32783.54740251891
3.72,32888.80494278883
3.73,32994.1026486541
3.74,33099.44038039689
3.75,33204.81799914746
3.7600000000000002,33310.23536687686
3.77,33415.692346389485
3.7800000000000002,33521.18880131584
3.79,33626.72459610532
3.8000000000000003,33732.29959601909
3.81,33837.91366712308
3.8200000000000003,33943.56667628103
3.83,34049.258491147564
3.84,34154.98898016145
3.85,34260.75801253885
3.86,34366.56545826666
3.87,34472.411188096
3.88,34578.295073535584
3.89,34684.21698684547
